scenario,source,p,method_family,rank,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,1,10000,3767.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,1,10000,3777.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,1,10000,3780.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,2,10000,3220.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,2,10000,3246.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,2,10000,3219.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,4,10000,1344.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,4,10000,1460.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,4,10000,1674.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,8,10000,1348.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,8,10000,1465.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,8,10000,1620.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,16,10000,1348.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,16,10000,1461.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,16,10000,1639.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,1,10001,4013.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,1,10001,4025.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,1,10001,4109.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,2,10001,3162.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,2,10001,3228.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,2,10001,3253.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,4,10001,1184.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,4,10001,1268.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,4,10001,1443.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,8,10001,1181.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,8,10001,1268.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,8,10001,1388.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU full-history replay fixed-rank,16,10001,1186.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,TOFU first-epoch replay fixed-rank,16,10001,1271.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.7,Masked PSLB fixed-rank,16,10001,1324.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,1,10000,3810.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,1,10000,3816.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,1,10000,3841.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,2,10000,3281.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,2,10000,3304.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,2,10000,3333.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,4,10000,1405.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,4,10000,1531.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,4,10000,1949.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,8,10000,1404.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,8,10000,1531.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,8,10000,1889.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,16,10000,1414.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,16,10000,1543.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,16,10000,1874.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,1,10001,4000.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,1,10001,4012.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,1,10001,4122.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,2,10001,3160.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,2,10001,3216.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,2,10001,3287.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,4,10001,1191.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,4,10001,1279.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,4,10001,1701.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,8,10001,1192.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,8,10001,1285.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,8,10001,1625.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,16,10001,1198.0,4,100,0.822084136847368
