scenario,source,p,method,rank_label,configured_rank,n,mean_final_regret,stderr_final_regret,median_final_regret,mean_reward,mean_final_rank,mean_latent_dim,mean_ambient_dim,mean_train_accuracy,mean_heldout_accuracy,rank_threshold_constant,lambda_reg,beta_scale
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Full-info OFUL,full-info,"d=100,lambda=1,beta=0.25",5,1070.0,118.78930928328525,1032.0,0.786,100.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,1.0,0.25
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Full-info PSLB,full-info,16,5,1123.0,127.75249508326637,1043.0,0.7754,16.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB adaptive-rank,adaptive,"max=20,threshold=0.03",5,3804.2,184.7797066779791,3957.0,0.23916,1.2,4.0,100.0,0.8077166666666666,0.8063709735018927,0.03,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank best-val,best-val,16,5,2449.0,122.9508031693978,2360.0,0.5102,16.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Random,random,,5,4497.6,6.8308125431752265,4502.0,0.10048,,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank best-val,best-val,4,5,1554.2,166.04920957354778,1563.0,0.68916,4.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay adaptive-rank,adaptive,"max=20,threshold=0.1",5,1461.6,152.23127142607723,1464.0,0.70768,4.0,4.0,100.0,0.8077166666666666,0.8063709735018927,0.1,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank best-val,best-val,4,5,1461.6,152.23127142607723,1464.0,0.70768,4.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Zero-imputed OFUL,ambient,100,5,2103.0,91.16962213369099,2091.0,0.5794,100.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,1.0,0.25
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Full-info OFUL,full-info,"d=100,lambda=1,beta=0.25",5,1070.0,118.78930928328525,1032.0,0.786,100.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,1.0,0.25
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Full-info PSLB,full-info,16,5,1123.0,127.75249508326637,1043.0,0.7754,16.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB adaptive-rank,adaptive,"max=20,threshold=0.03",5,2103.2,146.4204220728789,1951.0,0.57936,4.4,4.0,100.0,0.8077166666666666,0.8063709735018927,0.03,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank best-val,best-val,16,5,2046.6,139.5666865695392,1878.0,0.59068,16.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Random,random,,5,4497.6,6.8308125431752265,4502.0,0.10048,,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank best-val,best-val,8,5,1502.8,177.52137899419324,1457.0,0.69944,8.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay adaptive-rank,adaptive,"max=20,threshold=0.05",5,1395.4,156.9591029536038,1364.0,0.72092,4.2,4.0,100.0,0.8077166666666666,0.8063709735018927,0.05,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank best-val,best-val,8,5,1396.0,153.68376622141975,1372.0,0.7208,8.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Zero-imputed OFUL,ambient,100,5,1748.6,107.18236795294271,1627.0,0.65028,100.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,1.0,0.25
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Full-info OFUL,full-info,"d=100,lambda=1,beta=0.5",5,1071.8,125.77177743834264,1023.0,0.78564,100.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,1.0,0.5
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Full-info PSLB,full-info,16,5,1123.0,127.75249508326637,1043.0,0.7754,16.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB adaptive-rank,adaptive,"max=20,threshold=0.03",5,1633.4,133.39812592386747,1557.0,0.67332,11.8,4.0,100.0,0.8077166666666666,0.8063709735018927,0.03,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank best-val,best-val,16,5,1618.0,132.9447253560667,1502.0,0.6764,16.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Random,random,,5,4497.6,6.8308125431752265,4502.0,0.10048,,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank best-val,best-val,4,5,1456.4,176.19948921605877,1481.0,0.70872,4.0,4.0,100.0,0.8077166666666666,0.8063709735018927,,,
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay adaptive-rank,adaptive,"max=20,threshold=0.03",5,1302.4,145.18457218313523,1247.0,0.73952,5.2,4.0,100.0,0.8077166666666666,0.8063709735018927,0.03,,
