scenario,source,p,method_family,candidate_label,rank,rank_threshold_constant,lambda_reg,beta_scale,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy,selected
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay fixed-rank,rank=10,10,,,,10000,184.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU first-epoch replay fixed-rank,rank=10,10,,,,10000,185.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB fixed-rank,rank=10,10,,,,10000,182.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay fixed-rank,rank=20,20,,,,10000,169.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU first-epoch replay fixed-rank,rank=20,20,,,,10000,172.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB fixed-rank,rank=20,20,,,,10000,181.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay fixed-rank,rank=40,40,,,,10000,213.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU first-epoch replay fixed-rank,rank=40,40,,,,10000,240.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB fixed-rank,rank=40,40,,,,10000,172.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay adaptive-rank,threshold=0.03,40,0.03,,,10000,174.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB adaptive-rank,threshold=0.03,40,0.03,,,10000,175.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay adaptive-rank,threshold=0.05,40,0.05,,,10000,189.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB adaptive-rank,threshold=0.05,40,0.05,,,10000,175.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay adaptive-rank,threshold=0.07,40,0.07,,,10000,194.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB adaptive-rank,threshold=0.07,40,0.07,,,10000,175.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay adaptive-rank,threshold=0.1,40,0.1,,,10000,168.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB adaptive-rank,threshold=0.1,40,0.1,,,10000,175.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay adaptive-rank,threshold=0.15,40,0.15,,,10000,145.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB adaptive-rank,threshold=0.15,40,0.15,,,10000,175.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay adaptive-rank,threshold=0.25,40,0.25,,,10000,145.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB adaptive-rank,threshold=0.25,40,0.25,,,10000,175.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay adaptive-rank,threshold=0.5,40,0.5,,,10000,145.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB adaptive-rank,threshold=0.5,40,0.5,,,10000,175.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,TOFU full-history replay adaptive-rank,threshold=1,40,1.0,,,10000,145.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Masked PSLB adaptive-rank,threshold=1,40,1.0,,,10000,175.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=0.1,beta=0.25",300,,0.1,0.25,10000,111.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=0.1,beta=0.5",300,,0.1,0.5,10000,113.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=0.1,beta=1",300,,0.1,1.0,10000,191.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=0.1,beta=2",300,,0.1,2.0,10000,596.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=1,beta=0.25",300,,1.0,0.25,10000,120.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=1,beta=0.5",300,,1.0,0.5,10000,126.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=1,beta=1",300,,1.0,1.0,10000,175.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=1,beta=2",300,,1.0,2.0,10000,359.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=10,beta=0.25",300,,10.0,0.25,10000,196.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=10,beta=0.5",300,,10.0,0.5,10000,253.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=10,beta=1",300,,10.0,1.0,10000,417.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.2,Zero-imputed OFUL,"lambda=10,beta=2",300,,10.0,2.0,10000,604.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay fixed-rank,rank=10,10,,,,10000,284.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU first-epoch replay fixed-rank,rank=10,10,,,,10000,270.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB fixed-rank,rank=10,10,,,,10000,251.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay fixed-rank,rank=20,20,,,,10000,486.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU first-epoch replay fixed-rank,rank=20,20,,,,10000,481.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB fixed-rank,rank=20,20,,,,10000,255.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay fixed-rank,rank=40,40,,,,10000,547.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU first-epoch replay fixed-rank,rank=40,40,,,,10000,653.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB fixed-rank,rank=40,40,,,,10000,265.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay adaptive-rank,threshold=0.03,40,0.03,,,10000,377.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB adaptive-rank,threshold=0.03,40,0.03,,,10000,226.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay adaptive-rank,threshold=0.05,40,0.05,,,10000,224.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB adaptive-rank,threshold=0.05,40,0.05,,,10000,226.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay adaptive-rank,threshold=0.07,40,0.07,,,10000,177.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB adaptive-rank,threshold=0.07,40,0.07,,,10000,226.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay adaptive-rank,threshold=0.1,40,0.1,,,10000,165.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB adaptive-rank,threshold=0.1,40,0.1,,,10000,226.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay adaptive-rank,threshold=0.15,40,0.15,,,10000,165.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB adaptive-rank,threshold=0.15,40,0.15,,,10000,226.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay adaptive-rank,threshold=0.25,40,0.25,,,10000,165.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB adaptive-rank,threshold=0.25,40,0.25,,,10000,226.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay adaptive-rank,threshold=0.5,40,0.5,,,10000,165.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB adaptive-rank,threshold=0.5,40,0.5,,,10000,226.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,TOFU full-history replay adaptive-rank,threshold=1,40,1.0,,,10000,165.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Masked PSLB adaptive-rank,threshold=1,40,1.0,,,10000,226.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=0.1,beta=0.25",300,,0.1,0.25,10000,145.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=0.1,beta=0.5",300,,0.1,0.5,10000,167.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=0.1,beta=1",300,,0.1,1.0,10000,338.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=0.1,beta=2",300,,0.1,2.0,10000,588.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=1,beta=0.25",300,,1.0,0.25,10000,176.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=1,beta=0.5",300,,1.0,0.5,10000,204.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=1,beta=1",300,,1.0,1.0,10000,279.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=1,beta=2",300,,1.0,2.0,10000,489.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=10,beta=0.25",300,,10.0,0.25,10000,286.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=10,beta=0.5",300,,10.0,0.5,10000,411.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=10,beta=1",300,,10.0,1.0,10000,581.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.1,Zero-imputed OFUL,"lambda=10,beta=2",300,,10.0,2.0,10000,619.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay fixed-rank,rank=10,10,,,,10000,397.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU first-epoch replay fixed-rank,rank=10,10,,,,10000,445.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB fixed-rank,rank=10,10,,,,10000,310.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay fixed-rank,rank=20,20,,,,10000,663.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU first-epoch replay fixed-rank,rank=20,20,,,,10000,677.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB fixed-rank,rank=20,20,,,,10000,322.0,20,300,0.8970073566173845,0
