scenario,source,p,method,rank_label,configured_rank,n,mean_final_regret,stderr_final_regret,median_final_regret,mean_reward,mean_final_rank,mean_latent_dim,mean_ambient_dim,mean_train_accuracy,mean_heldout_accuracy,rank_threshold_constant,lambda_reg,beta_scale
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.2,Masked PSLB fixed-rank best-val,best-val,20,5,1423.8,38.476486326066734,1446.0,0.822025,20.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.2,TOFU full-history replay adaptive-rank,adaptive,"max=40,threshold=0.05",5,1320.4,40.89938874848865,1302.0,0.83495,5.6,20.0,1000.0,0.8675342008675342,0.860347129506008,0.05,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.2,TOFU full-history replay fixed-rank best-val,best-val,20,5,1276.0,33.14060952969936,1264.0,0.8405,20.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.2,Zero-imputed OFUL,ambient,1000,5,1333.8,40.05546155020561,1318.0,0.833275,1000.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,0.1,0.25
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.3,Masked PSLB fixed-rank best-val,best-val,20,5,1348.8,26.433690623898887,1363.0,0.8314,20.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.3,TOFU full-history replay adaptive-rank,adaptive,"max=40,threshold=0.05",5,1296.8,37.2094074126423,1280.0,0.8379,7.4,20.0,1000.0,0.8675342008675342,0.860347129506008,0.05,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.3,TOFU full-history replay fixed-rank best-val,best-val,20,5,1267.6,40.507530164155895,1250.0,0.84155,20.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.3,Zero-imputed OFUL,ambient,1000,5,1318.0,47.96144284735395,1280.0,0.83525,1000.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,0.1,0.25
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.4,Masked PSLB fixed-rank best-val,best-val,20,5,1318.6,31.881969826219958,1323.0,0.835175,20.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.4,TOFU full-history replay adaptive-rank,adaptive,"max=40,threshold=0.05",5,1258.4,36.61502423869196,1246.0,0.8427,8.2,20.0,1000.0,0.8675342008675342,0.860347129506008,0.05,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.4,TOFU full-history replay fixed-rank best-val,best-val,20,5,1247.8,41.47939247385381,1235.0,0.844025,20.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,,
text20news4_product_spectral_tail_r025_m20_d1000,20newsgroups4,0.4,Zero-imputed OFUL,ambient,1000,5,1302.0,39.966235749692515,1266.0,0.83725,1000.0,20.0,1000.0,0.8675342008675342,0.860347129506008,,0.1,0.25
